value	title	parentvalue
111	Legislators and Senior Officials	11
112	Managing Directors and Chief Executives	11
121	Business Services and Administration Managers	12
122	Sales, Marketing and Development Managers	12
131	Production Managers in Agriculture, Forestry and Fisheries	13
132	Manufacturing, Mining, Construction and Distribution Managers	13
133	Information and Communications Technology Services Managers	13
134	Professional Services Managers	13
141	Hotel and Restaurant Managers	14
142	Retail and Wholesale Trade Managers	14
143	Other Services Managers	14
211	Physical and Earth Science Professionals	21
212	Mathematicians, Actuaries and Statisticians	21
213	Life Science Professionals	21
214	Engineering Professionals (excluding Electrotechnology)	21
215	Electrotechnology Engineers	21
216	Architects, Planners, Surveyors and Designers	21
221	Medical Doctors	22
222	Nursing and Midwifery Professionals	22
223	Traditional and Complementary Medicine Professionals	22
224	Paramedical Practitioners	22
225	Veterinarians	22
226	Other Health Professionals	22
231	University and Higher Education Teachers	23
232	Vocational Education Teachers	23
233	Secondary Education Teachers	23
234	Primary School and Early Childhood Teachers	23
235	Other Teaching Professionals	23
241	Finance Professionals	24
242	Administration Professionals	24
243	Sales, Marketing and Public Relations Professionals	24
251	Software and Applications Developers and Analysts	25
252	Database and Network Professionals	25
261	Legal Professionals	26
262	Librarians, Archivists and Curators	26
263	Social and Religious Professionals	26
264	Authors, Journalists and Linguists	26
265	Creative and Performing Artists	26
311	Physical and Engineering Science Technicians	31
312	Mining, Manufacturing and Construction Supervisors	31
313	Process Control Technicians	31
314	Life Science Technicians and Related Associate Professionals	31
315	Ship and Aircraft Controllers and Technicians	31
321	Medical and Pharmaceutical Technicians	32
322	Nursing and Midwifery Associate Professionals	32
323	Traditional and Complementary Medicine Associate Professionals	32
324	Veterinary Technicians and Assistants	32
325	Other Health Associate Professionals	32
331	Financial and Mathematical Associate Professionals	33
332	Sales and Purchasing Agents and Brokers	33
333	Business Services Agents	33
334	Administrative and Specialized Secretaries	33
335	Government Regulatory Associate Professionals	33
341	Legal, Social and Religious Associate Professionals	34
342	Sports and Fitness Workers	34
343	Artistic, Cultural and Culinary Associate Professionals	34
351	Information and Communications Technology Operations and User Support Technicians	35
352	Telecommunications and Broadcasting Technicians	35
411	General Office Clerks	41
412	Secretaries (general)	41
413	Keyboard Operators	41
421	Tellers, Money Collectors and Related Clerks	42
422	Client Information Workers	42
431	Numerical Clerks	43
432	Material Recording and Transport Clerks	43
441	Other Clerical Support Workers	44
511	Travel Attendants, Conductors and Guides	51
512	Cooks	51
513	Waiters and Bartenders	51
514	Hairdressers, Beauticians and Related Workers	51
515	Building and Housekeeping Supervisors	51
516	Other Personal Services Workers	51
521	Street and Market Salespersons	52
522	Shop Salespersons	52
523	Cashiers and Ticket Clerks	52
524	Other Sales Workers	52
531	Child Care Workers and Teachers’ Aides	53
532	Personal Care Workers in Health Services	53
541	Protective Services Workers	54
611	Market Gardeners and Crop Growers	61
612	Animal Producers	61
613	Mixed Crop and Animal Producers	61
621	Forestry and Related Workers	62
622	Fishery Workers, Hunters and Trappers	62
631	Subsistence Crop Farmers	63
632	Subsistence Livestock Farmers	63
633	Subsistence Mixed Crop and Livestock Farmers	63
634	Subsistence Fishers, Hunters, Trappers and Gatherers	63
711	Building Frame and Related Trades Workers	71
712	Building Finishers and Related Trades Workers	71
713	Painters, Building Structure Cleaners and Related Trades Workers	71
721	Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers	72
722	Blacksmiths, Toolmakers and Related Trades Workers	72
723	Machinery Mechanics and Repairers	72
731	Handicraft Workers	73
732	Printing Trades Workers	73
741	Electrical Equipment Installers and Repairers	74
742	Electronics and Telecommunications Installers and Repairers	74
751	Food Processing and Related Trades Workers	75
752	Wood Treaters, Cabinet-makers and Related Trades Workers	75
753	Garment and Related Trades Workers	75
754	Other Craft and Related Workers	75
811	Mining and Mineral Processing Plant Operators	81
812	Metal Processing and Finishing Plant Operators	81
813	Chemical and Photographic Products Plant and Machine Operators	81
814	Rubber, Plastic and Paper Products Machine Operators	81
815	Textile, Fur and Leather Products Machine Operators	81
816	Food and Related Products Machine Operators	81
817	Wood Processing and Papermaking Plant Operators	81
818	Other Stationary Plant and Machine Operators	81
821	Assemblers	82
831	Locomotive Engine Drivers and Related Workers	83
832	Car, Van and Motorcycle Drivers	83
833	Heavy Truck and Bus Drivers	83
834	Mobile Plant Operators	83
835	Ships’ Deck Crews and Related Workers	83
911	Domestic, Hotel and Office Cleaners and Helpers	91
912	Vehicle, Window, Laundry and Other Hand Cleaning Workers	91
921	Agricultural, Forestry and Fishery Labourers	92
931	Mining and Construction Labourers	93
932	Manufacturing Labourers	93
933	Transport and Storage Labourers	93
941	Food Preparation Assistants	94
951	Street and Related Services Workers	95
952	Street Vendors (excluding Food)	95
961	Refuse Workers	96
962	Other Elementary Workers	96
11	Commissioned Armed Forces Officers	1
21	Non-commissioned Armed Forces Officers	2
31	Armed Forces Occupations, Other Ranks	3
